components	id	date	location	crash	fire	injuries	deaths
ELECTRICAL SYSTEM, STRUCTURE	11454428	2022-02-18	WAYNE, NJ	No	No	0	0
AIR BAGS	11449247	2022-01-25	PORTLAND, OR	Yes	No	1	0
ELECTRICAL SYSTEM	11447944	2021-12-17	SAN JOSE, CA	No	No	0	0
UNKNOWN OR OTHER	11446436	2022-01-06	FALLS CHURCH, VA	No	No	0	0
ELECTRICAL SYSTEM	11440932	2020-12-30	SAN RAMON, CA	No	Yes	0	0
SERVICE BRAKES	11438494	2021-09-01	SAN JUAN CAPISTRANO, CA	Yes	No	0	0
SUSPENSION, VEHICLE SPEED CONTROL, FORWARD COLLISION AVOIDANCE	11438228	2021-10-16	APPLE VALLEY, CA	Yes	No	1	0
UNKNOWN OR OTHER	11437608	2021-10-21	Unknown	No	Yes	0	0
POWER TRAIN	11428759	2021-06-11	VIENNA, VA	No	Yes	0	0
UNKNOWN OR OTHER	11427240	2021-07-30	LOS GATOS, CA	No	No	0	0
UNKNOWN OR OTHER	11420524	2021-06-10	GREENVILLE, SC	No	No	0	0
UNKNOWN OR OTHER	11419837	2021-01-09	RIVERSIDE, CA	No	Yes	1	0
STEERING, VEHICLE SPEED CONTROL, FORWARD COLLISION AVOIDANCE	11416497	2021-05-08	FREMONT, CA	Yes	No	0	0
SUSPENSION, SEATS, FUEL/PROPULSION SYSTEM	11413862	2020-11-11	TUSTIN, CA	No	No	0	0
SUSPENSION, STRUCTURE, VEHICLE SPEED CONTROL	11407155	2021-04-07	MOUNTAIN VIEW, CA	Yes	Yes	0	0
STRUCTURE, UNKNOWN OR OTHER	11405049	2021-03-26	SACHSE, TX	No	No	0	0
ELECTRICAL SYSTEM	11397917	2020-12-02	MILILANI, HI	No	No	0	0
POWER TRAIN, ELECTRICAL SYSTEM, STRUCTURE	11397073	2021-01-09	RIVERSIDE, CA	No	Yes	0	0
FUEL/PROPULSION SYSTEM	11396170	2020-11-25	LINCOLN, NE	Yes	No	0	0
POWER TRAIN, STRUCTURE, FUEL/PROPULSION SYSTEM	11389857	2020-11-23	FRISCO, TX	No	Yes	0	0
ELECTRICAL SYSTEM	11385326	2020-12-28	PISCATAWAY, NJ	No	No	0	0
EXTERIOR LIGHTING, STRUCTURE, LANE DEPARTURE	11384311	2020-12-14	Unknown	No	No	0	0
SUSPENSION	11376882	2019-11-12	BELLEVUE, WA	No	No	0	0
SUSPENSION	11376766	2019-08-30	GLENDALE, CA	No	No	0	0
SUSPENSION	11342728	2020-06-01	Unknown	No	Yes	0	0
UNKNOWN OR OTHER	11342185	2020-07-27	LEXINGTON, KY	No	Yes	0	0
SUSPENSION	11339811	2020-06-10	Unknown	Yes	No	0	0
ELECTRICAL SYSTEM	11338714	2020-07-08	Unknown	No	Yes	0	0
FUEL/PROPULSION SYSTEM	11338434	2019-07-24	MORGAN HILL, CA	No	No	0	0
ELECTRICAL SYSTEM, UNKNOWN OR OTHER	11330733	2020-02-12	FORT LAUDERDALE, FL	Yes	No	0	0
ELECTRICAL SYSTEM, VEHICLE SPEED CONTROL, UNKNOWN OR OTHER	11330617	2020-03-20	SANTA ANA, CA	No	No	0	0
FUEL/PROPULSION SYSTEM	11321453	2019-07-24	MARINA DEL REY, CA	No	No	0	0
FUEL/PROPULSION SYSTEM	11316041	2019-05-01	MILWAUKIE, OR	No	No	0	0
SUSPENSION, FUEL/PROPULSION SYSTEM	11311515	2020-02-01	Unknown	No	Yes	0	0
UNKNOWN OR OTHER	11309908	2019-06-01	GLENDALE, CA	No	No	0	0
ELECTRICAL SYSTEM	11307994	2020-01-30	SAN MARCOS, CA	No	No	0	0
ELECTRICAL SYSTEM	11306594	2020-01-24	PEORIA, AZ	No	No	0	0
FUEL/PROPULSION SYSTEM	11302917	2020-01-10	Unknown	No	Yes	1	0
VEHICLE SPEED CONTROL	11300585	2019-04-17	TEMECULA, CA	Yes	No	0	0
VEHICLE SPEED CONTROL	11300230	2020-01-14	ROSEVILLE, CA	Yes	No	2	0
POWER TRAIN, ELECTRICAL SYSTEM, FUEL/PROPULSION SYSTEM	11299296	2019-12-19	MARANA, AZ	No	No	0	0
ELECTRICAL SYSTEM	11291614	2019-05-24	HARRISON, NJ	No	No	0	0
FUEL/PROPULSION SYSTEM	11288980	2019-08-01	BARSTOW, CA	No	No	0	0
FUEL/PROPULSION SYSTEM	11287032	2019-12-05	EL DORADO HILLS, CA	No	No	0	0
UNKNOWN OR OTHER	11282613	2019-10-15	HARWICH, MA	No	No	0	0
SUSPENSION, FUEL/PROPULSION SYSTEM	11282556	2019-11-24	Unknown	No	Yes	0	0
UNKNOWN OR OTHER	11281892	2019-05-15	DUBLIN, CA	No	No	0	0
ENGINE	11278643	2017-07-26	RANCHO PALOS VERDES, CA	No	Yes	0	0
FUEL/PROPULSION SYSTEM	11277641	2019-10-01	BEVERLY HILLS, CA	No	No	0	0
ELECTRICAL SYSTEM, FUEL/PROPULSION SYSTEM	11271662	2019-08-01	GIG HARBOR, WA	No	No	0	0
SUSPENSION	11271346	2019-10-01	Unknown	Yes	Yes	0	0
POWER TRAIN, ELECTRICAL SYSTEM, FUEL/PROPULSION SYSTEM	11269564	2019-05-29	NORTON SHORES, MI	No	No	0	0
